timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727095720931,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095721944,34178,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095721944,4991,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095721944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095722954,34147,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095722954,5136,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095722954,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095723964,34187,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095723964,8309,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095723964,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095724975,34172,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095724975,6243,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095724975,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095725988,34215,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095725988,3473,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095725988,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095726996,34204,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095726996,4719,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095726996,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095728003,34349,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095728003,25602,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095728003,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095729011,34468,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095729011,11629,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095729011,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095730024,34523,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095730024,7571,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095730024,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095731032,34515,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095731032,1942,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095731032,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095732035,34587,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095732035,6545,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095732035,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095733049,34588,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095733049,5237,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095733049,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095734057,34579,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095734057,2975,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095734057,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095735067,34634,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095735067,6242,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095735067,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095736077,34492,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095736077,8358,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095736077,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095737079,34478,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095737079,11170,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095737079,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095738088,34445,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095738088,10209,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095738088,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
